code,nombre,Cleanliness,Location,Service,rating_Excellent,rating_Poor,rating_Terrible,rating_Very Good,number_of_reviews,stars
AA701,Hostal Mundial,,,,4.0,0.0,14.0,3.0,22.0,2.0
TR616,Hotel Finisterre,,,,,,,,2.0,4.0
JH501,Bob W Chueca,,,,50.0,0.0,0.0,7.0,57.0,5.0
JH246,Air Rooms Madrid Airport by Premium Traveller,4.5,4.7,4.0,86.0,17.0,21.0,95.0,260.0,4.0
AA185,Open Hostel,,,,7.0,1.0,4.0,1.0,13.0,3.5
BW36,Jc Rooms Jardines,4.3,4.8,4.2,73.0,8.0,10.0,43.0,156.0,4.0
TR162,JC Chueca,,,,106.0,15.0,11.0,58.0,219.0,4.0
TH683,Senorial Hotel,,,,12.0,26.0,31.0,19.0,128.0,2.5
EX313,Veracruz Puerta del Sol,4.3,4.8,4.1,74.0,5.0,9.0,70.0,193.0,4.0
AA57,Sol Mayor Apartments,,,,8.0,3.0,19.0,9.0,48.0,2.5
TR141,Hotel Sterling,4.1,4.7,3.9,181.0,83.0,43.0,411.0,910.0,3.5
EX243,Exe Zarzuela Park,4.2,3.2,3.8,141.0,24.0,35.0,235.0,545.0,4.0
