fighter_name,Weight,Height
Brian Melancon,170 lbs.,"5' 8"""
Brian Ortega,145 lbs.,"5' 8"""
Brian Rogers,185 lbs.,"5' 11"""
Brian Schwartz,170 lbs.,"6' 3"""
Brian Sleeman,185 lbs.,"5' 8"""
Brian Stann,205 lbs.,"6' 1"""
Brian Warren,185 lbs.,"6' 0"""
Brianna Van Buren,115 lbs.,"4' 11"""
Bristol Marunde,170 lbs.,"6' 1"""
Brock Jardine,170 lbs.,"5' 11"""
Brock Larson,170 lbs.,"5' 11"""
Brock Lesnar,265 lbs.,"6' 3"""
Brodie Farber,170 lbs.,"6' 1"""
Brok Weaver,170 lbs.,"6' 0"""
Bronson Mohika,135 lbs.,
Brooke Mayo,125 lbs.,"5' 7"""
Bruno Assis,185 lbs.,"6' 2"""
Bruno Carvalho,154 lbs.,"5' 8"""
Bruno Korea,135 lbs.,"5' 6"""
Bruno Santos,185 lbs.,"5' 9"""
Bruno Silva,185 lbs.,"6' 0"""
Bryan Baker,185 lbs.,"6' 3"""
Bryan Barberena,170 lbs.,"6' 0"""
Bryan Caraway,135 lbs.,"5' 8"""
Bryan Humes,265 lbs.,
Bryan Pardoe,205 lbs.,"6' 1"""
Bryan Travers,155 lbs.,
Bryan Vetell,265 lbs.,"6' 3"""
Bryanna Fissori,145 lbs.,"5' 4"""
Bryce Mejia,170 lbs.,"6' 1"""
Bryce Mitchell,145 lbs.,"5' 10"""
Bryson Kamaka,170 lbs.,"5' 11"""
Bu-Kyung Jung,154 lbs.,"5' 7"""
Bubba Bush,185 lbs.,"6' 0"""
Bubba Jenkins,145 lbs.,"5' 7"""
Bubba McDaniel,185 lbs.,"6' 3"""
Bubba Pugh,185 lbs.,"5' 10"""
Buck Meredith,185 lbs.,"6' 2"""
Buddy Roberts,185 lbs.,"6' 2"""
Byron Bloodworth,135 lbs.,"5' 8"""
CB Dollaway,185 lbs.,"6' 2"""
CJ Fernandes,170 lbs.,"6' 2"""
CJ Hamilton,125 lbs.,"5' 7"""
CJ Keith,155 lbs.,"6' 0"""
CJ Marsh,,
CM Punk,170 lbs.,"6' 1"""
Cain Carrizosa,155 lbs.,"5' 8"""
Cain Velasquez,240 lbs.,"6' 1"""
Caio Magalhaes,185 lbs.,"6' 1"""
Cal Worsham,230 lbs.,"5' 11"""
Cale Yarbrough,185 lbs.,"6' 1"""
Callan Potter,155 lbs.,"6' 0"""
Calvin Kattar,145 lbs.,"5' 11"""
Cameron Dollar,155 lbs.,"5' 11"""
Cameron Olson,205 lbs.,"6' 1"""
Canaan Kawaihae,145 lbs.,"6' 0"""
Caol Uno,155 lbs.,"5' 7"""
Carina Damm,135 lbs.,"5' 4"""
Carl Malenko,200 lbs.,"5' 11"""
Carl Seumanutafa,255 lbs.,"6' 1"""
Carl Toomey,,
Carla Esparza,115 lbs.,"5' 1"""
Carlo Pedersoli,170 lbs.,"5' 11"""
Carlo Prater,155 lbs.,"5' 11"""
Carlos Barreto,230 lbs.,"6' 4"""
Carlos Candelario,125 lbs.,"5' 8"""
Carlos Condit,170 lbs.,"6' 2"""
Carlos Eduardo Rocha,170 lbs.,"5' 10"""
Carlos Felipe,245 lbs.,"6' 0"""
Carlos Huachin,135 lbs.,"5' 4"""
Carlos Newton,170 lbs.,"5' 9"""
Carlos Zevallos,205 lbs.,"6' 0"""
Carls John De Tomas,125 lbs.,"5' 5"""
Carlton Jones,225 lbs.,"6' 1"""
Carmelo Marrero,205 lbs.,"6' 0"""
Caros Fodor,155 lbs.,"5' 9"""
Carter Williams,265 lbs.,"6' 1"""
Casey Huffman,185 lbs.,"6' 3"""
Casey Kenney,135 lbs.,"5' 7"""
Casey Olson,145 lbs.,"5' 7"""
Cat Zingano,145 lbs.,"5' 6"""
Cathal Pendred,170 lbs.,"6' 1"""
Cesar Arzamendia,155 lbs.,"5' 11"""
Cesar Gracie,181 lbs.,"5' 10"""
Cesar Marscucci,,
Cezar Ferreira,185 lbs.,"6' 1"""
Chad Cook,205 lbs.,"6' 2"""
Chad Corvin,255 lbs.,"6' 5"""
Chad George,135 lbs.,"5' 6"""
Chad Griggs,205 lbs.,"6' 1"""
Chad Laprise,170 lbs.,"5' 10"""
Chad Leonhardt,170 lbs.,"6' 0"""
Chad Mendes,145 lbs.,"5' 6"""
Chad Reiner,170 lbs.,"5' 11"""
Chad Robichaux,135 lbs.,"5' 4"""
Chad Sutton,185 lbs.,"6' 1"""
Chad Vance,185 lbs.,"6' 0"""
Chad W. Saunders,170 lbs.,"5' 10"""
Chael Sonnen,205 lbs.,"6' 1"""
Chalid Arrab,205 lbs.,"5' 11"""
Chan Sung Jung,145 lbs.,"5' 7"""
Chance Farrar,145 lbs.,"5' 9"""
Chance Rencountre,170 lbs.,"6' 2"""
Chanmi Jeon,115 lbs.,"5' 5"""
Charlene Gellner,125 lbs.,"5' 2"""
Charles Bennett,155 lbs.,"5' 8"""
Charles Byrd,185 lbs.,"5' 10"""
Charles Jourdain,155 lbs.,"5' 9"""
Charles McCarthy,185 lbs.,"5' 10"""
Charles McTorry,,
Charles Oliveira,155 lbs.,"5' 10"""
Charles Rosa,145 lbs.,"5' 9"""
Charlie Brenneman,155 lbs.,"5' 10"""
Charlie Kohler,155 lbs.,"5' 9"""
Charlie Ontiveros,170 lbs.,"6' 2"""
Charlie Valencia,135 lbs.,"5' 3"""
Charlie Ward,170 lbs.,"5' 11"""
Charon Spain,155 lbs.,"5' 9"""
Chas Skelly,145 lbs.,"5' 11"""
Chase Beebe,135 lbs.,"5' 7"""
Chase Gormley,265 lbs.,"6' 3"""
Chase Hooper,145 lbs.,"6' 1"""
Chase Sherman,250 lbs.,"6' 4"""
Chase Waldon,185 lbs.,"6' 1"""
Chatt Lavender,170 lbs.,"5' 8"""
Che Mills,170 lbs.,"6' 1"""
Cheick Kongo,240 lbs.,"6' 4"""
Chel Erwin-Davis,170 lbs.,"6' 0"""
Cheyden Leialoha,135 lbs.,"5' 8"""
Chibwikem Onyenegecha-Palmer,185 lbs.,"6' 3"""
Chico Camus,125 lbs.,"5' 6"""
Chidi Njokuani,170 lbs.,"6' 3"""
Chris Amarante,185 lbs.,
Chris Avila,145 lbs.,"5' 10"""
Chris Barnhizer,,
Chris Beal,125 lbs.,"5' 7"""
Chris Birchler,205 lbs.,"6' 3"""
Chris Bostick,,
Chris Brennan,170 lbs.,"5' 8"""
Chris Brown,170 lbs.,
Chris Camozzi,185 lbs.,"6' 2"""
Chris Cariaso,125 lbs.,"5' 3"""
Chris Clements,170 lbs.,"5' 10"""
Chris Coggins,,
Chris Condo,335 lbs.,"6' 0"""
Chris Cope,170 lbs.,"6' 0"""
Chris Culley,145 lbs.,
Chris Curtis,170 lbs.,"5' 10"""
Chris Dempsey,185 lbs.,"5' 10"""
Chris Drumm,145 lbs.,"5' 8"""
Chris Fishgold,145 lbs.,"5' 8"""
Chris Gruetzemacher,155 lbs.,"5' 8"""
Chris Guillen,240 lbs.,"6' 0"""
Chris Gutierrez,135 lbs.,"5' 9"""
Chris Haseman,205 lbs.,"5' 11"""
Chris Hawk,205 lbs.,"6' 1"""
Chris Heatherly,155 lbs.,"5' 9"""
Chris Herrera,185 lbs.,"5' 10"""
Chris Holdsworth,135 lbs.,"5' 11"""
Chris Honeycutt,170 lbs.,"5' 10"""
Chris Horodecki,155 lbs.,"5' 9"""
Chris Indich,170 lbs.,"5' 10"""
Chris Inman,,
Chris Jones,149 lbs.,"5' 9"""
Chris Kelades,125 lbs.,"5' 7"""
Chris Leben,185 lbs.,"5' 11"""
Chris Liguori,185 lbs.,"5' 9"""
Chris Lytle,170 lbs.,"5' 11"""
Chris Manuel,135 lbs.,"5' 9"""
Chris Mickle,145 lbs.,"5' 9"""
Chris Mierzwiak,185 lbs.,"6' 1"""
Chris Price,185 lbs.,"6' 2"""
Chris Sanford,185 lbs.,"5' 11"""
Chris Saunders,155 lbs.,"5' 8"""
Chris Solomon,155 lbs.,"5' 11"""
Chris Spang,170 lbs.,"6' 2"""
Chris Tickle,155 lbs.,"5' 9"""
Chris Tuchscherer,258 lbs.,"6' 2"""
Chris Wade,155 lbs.,"5' 10"""
Chris Weidman,185 lbs.,"6' 2"""
